temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,season,good_for_running
16.4,11.8,0.0,28.1,spring,1
24.5,16.6,0.0,41.8,fall,0
21.1,15.3,0.0,12.7,winter,1
15.0,9.3,0.0,21.5,summer,1
14.8,6.0,0.0,31.5,fall,0
15.5,10.6,0.3,11.5,fall,1
26.1,22.8,0.0,33.5,winter,0
14.4,9.0,2.4,13.5,fall,1
15.2,11.3,0.0,33.2,summer,0
19.1,15.6,1.9,37.4,winter,0
16.3,9.9,2.1,20.7,summer,1
15.8,7.1,0.0,45.6,spring,0
10.3,3.8,0.6,29.8,fall,1
16.9,10.0,1.3,35.3,spring,0
14.3,9.4,0.2,2.9,summer,1
24.0,17.6,0.0,7.0,summer,1
20.9,13.4,1.3,33.3,summer,0
16.9,10.4,0.0,43.5,winter,0
21.0,13.2,0.7,29.6,winter,1
15.0,8.7,1.8,42.2,spring,0
23.3,19.1,0.0,4.6,spring,1
17.0,10.5,0.0,41.2,spring,0
20.5,14.6,0.0,40.6,fall,0
9.3,5.3,0.0,29.7,winter,1
19.1,12.4,8.6,20.9,spring,0
6.9,-1.0,0.0,33.0,fall,0
4.8,1.0,0.0,12.7,fall,0
15.2,8.9,1.6,31.4,summer,0
11.6,4.2,0.0,32.5,fall,0
18.0,12.6,0.0,25.8,spring,1
30.5,25.9,0.6,13.4,fall,0
12.0,6.8,0.0,2.1,fall,1
13.3,7.0,4.3,10.6,summer,0
18.2,11.1,7.1,38.7,fall,0
20.0,13.6,0.0,11.3,spring,1
15.9,12.3,0.2,5.3,spring,1
15.8,7.9,0.0,12.9,summer,1
21.2,12.7,1.1,24.8,winter,1
20.1,16.5,0.4,27.8,fall,1
10.8,6.3,0.0,40.6,fall,0
16.5,12.5,0.0,39.6,spring,0
17.2,9.1,7.0,44.6,spring,0
10.7,2.2,1.6,40.9,winter,0
18.6,15.3,0.0,21.8,spring,1
11.9,6.9,0.0,8.2,spring,1
22.8,18.6,0.0,44.1,fall,0
18.2,12.4,0.0,12.1,winter,1
17.5,9.0,3.9,29.4,spring,0
13.5,10.1,2.2,13.6,winter,1
16.3,12.3,1.3,37.9,spring,0
5.0,-0.9,0.0,10.8,winter,0
10.2,4.1,7.1,20.5,fall,0
19.2,11.7,1.9,11.7,winter,1
4.2,-1.4,1.1,39.9,spring,0
22.1,18.3,0.3,29.3,fall,1
6.5,1.4,1.5,29.8,fall,0
21.5,12.6,0.0,15.8,spring,1
11.9,4.4,0.0,9.8,winter,1
21.7,18.0,0.0,39.7,fall,0
17.8,10.0,0.0,35.6,spring,0
7.8,2.9,0.0,34.3,fall,0
24.5,16.8,0.0,45.9,fall,0
25.7,22.6,0.2,26.6,summer,1
16.6,8.4,0.0,9.9,winter,1
15.4,11.4,0.6,28.8,fall,1
16.0,10.3,0.0,14.6,fall,1
11.1,4.1,0.0,24.6,summer,1
23.6,17.6,0.0,22.2,spring,1
13.7,9.7,0.0,26.8,summer,1
16.7,12.9,0.0,42.5,fall,0
12.2,7.5,0.6,37.6,spring,0
13.2,9.9,0.0,20.3,spring,1
9.3,5.0,2.7,38.0,winter,0
24.5,20.7,1.9,39.9,winter,0
16.1,10.3,7.6,36.1,summer,0
22.8,17.7,6.9,26.3,winter,0
17.1,10.6,0.0,41.6,spring,0
12.8,8.1,3.4,23.6,spring,0
15.0,11.8,4.7,6.7,spring,0
13.6,8.6,0.0,14.0,spring,1
17.0,9.5,0.0,30.9,fall,0
14.7,10.2,0.0,18.7,winter,1
15.2,9.8,1.5,20.6,spring,1
8.7,1.2,0.8,19.7,summer,1
12.2,6.8,0.0,10.4,winter,1
26.9,18.6,6.0,6.1,spring,0
13.0,4.5,3.1,4.2,summer,0
10.7,5.8,1.3,31.6,winter,0
19.0,11.6,0.6,16.3,summer,1
25.4,20.9,0.0,22.1,summer,1
8.3,4.5,0.0,43.1,winter,0
15.7,10.1,0.0,29.6,summer,1
13.2,6.6,0.0,37.7,spring,0
6.4,-2.2,0.0,35.5,winter,0
21.4,17.5,0.0,44.0,summer,0
16.9,9.6,0.2,4.9,fall,1
17.4,11.5,5.2,18.9,spring,0
12.5,8.7,0.3,43.8,summer,0
19.7,10.9,0.0,22.4,winter,1
13.8,6.6,0.0,43.7,fall,0
16.1,12.3,0.0,10.1,fall,1
10.4,2.0,2.8,4.7,spring,1
9.7,6.1,0.0,41.4,summer,0
25.0,21.4,2.3,20.1,winter,1
14.0,9.0,0.0,24.4,fall,1
18.8,10.2,0.0,43.2,winter,0
16.8,13.6,0.0,11.7,winter,1
14.4,5.9,0.0,44.6,winter,0
14.0,7.3,0.0,19.4,spring,1
20.8,17.4,0.0,12.9,fall,1
15.2,8.8,4.2,12.3,fall,0
16.1,10.3,0.0,24.8,summer,1
17.1,10.7,1.3,22.5,summer,1
24.1,16.7,5.6,41.0,spring,0
21.1,14.0,2.3,4.2,spring,1
19.3,10.3,3.1,3.9,summer,0
13.6,9.7,1.2,8.7,summer,1
8.7,0.8,0.0,28.6,summer,1
22.7,17.2,1.3,36.4,fall,0
22.8,15.1,0.3,23.1,spring,1
16.2,7.8,0.0,29.0,summer,1
20.3,11.3,0.5,30.3,fall,0
21.7,17.1,0.0,2.8,winter,1
22.0,16.3,3.8,12.8,spring,0
22.5,13.8,1.3,45.9,winter,0
14.3,5.6,1.9,16.6,winter,1
26.1,20.9,0.0,43.7,spring,0
9.5,0.9,1.0,23.7,summer,1
22.2,16.8,0.0,11.8,winter,1
20.0,14.8,0.0,2.1,winter,1
22.2,14.7,0.0,11.6,winter,1
28.3,22.5,2.0,16.1,winter,0
25.9,20.2,0.5,21.3,summer,1
10.1,4.8,0.6,21.7,spring,1
6.9,1.3,7.5,26.1,summer,0
21.9,18.1,0.0,22.9,summer,1
10.9,7.5,3.7,3.4,winter,0
16.9,9.4,0.0,13.7,spring,1
22.0,15.6,0.0,44.3,fall,0
7.1,0.1,0.7,3.2,spring,1
4.3,-3.5,0.2,34.3,spring,0
18.6,14.2,0.0,23.0,summer,1
17.3,12.9,0.0,33.1,fall,0
15.5,10.8,3.8,16.6,winter,0
17.2,12.4,0.0,18.3,summer,1
11.8,4.2,1.1,24.7,fall,1
7.9,2.7,13.4,42.0,summer,0
16.0,11.1,0.9,16.4,summer,1
11.2,4.4,0.0,5.8,summer,1
7.1,3.0,4.1,3.7,spring,0
20.0,16.4,2.6,40.8,fall,0
16.6,9.4,0.0,15.8,spring,1
19.4,11.9,0.0,7.3,spring,1
11.1,6.3,0.0,28.2,summer,1
13.1,6.3,0.0,39.2,spring,0
11.0,7.8,0.0,28.4,summer,1
11.7,6.3,2.9,8.7,fall,1
18.2,11.7,0.0,19.9,winter,1
12.3,7.8,2.0,13.7,spring,1
19.1,14.0,0.5,2.7,winter,1
19.0,12.3,1.4,44.5,spring,0
29.2,22.7,0.1,22.2,summer,0
8.6,4.7,0.0,7.9,fall,1
22.3,15.1,0.0,40.9,winter,0
16.5,13.0,0.0,45.3,spring,0
16.9,8.1,0.9,37.9,summer,0
8.3,4.1,0.4,13.2,spring,1
14.2,9.7,2.3,10.4,fall,1
21.5,17.3,0.0,25.1,fall,1
16.5,7.6,0.0,27.7,winter,1
17.5,12.8,0.0,40.6,spring,0
15.3,8.7,0.3,44.6,summer,0
23.9,15.0,0.0,42.1,spring,0
16.9,8.2,0.0,17.1,winter,1
3.8,0.5,1.9,27.8,fall,0
12.8,6.7,0.0,7.4,winter,1
5.2,-1.4,0.0,24.8,spring,0
-2.5,-9.7,0.0,5.1,summer,0
13.8,8.8,0.9,6.9,spring,1
25.0,20.0,0.0,7.4,winter,1
17.3,14.3,0.0,15.3,fall,1
10.0,6.8,0.4,15.6,winter,1
11.4,5.1,0.4,33.0,spring,0
23.8,20.3,0.3,5.3,winter,1
17.9,13.7,0.0,6.9,winter,1
17.3,12.3,0.0,30.9,summer,0
16.7,13.3,5.1,31.6,fall,0
17.2,14.0,0.0,33.3,spring,0
21.8,13.2,0.0,33.7,fall,0
20.3,14.7,1.5,31.2,summer,0
18.3,14.1,0.0,26.3,spring,1
10.7,3.4,0.0,34.6,winter,0
20.1,17.0,1.6,5.6,spring,1
12.9,8.4,0.0,11.3,winter,1
23.6,14.8,0.0,34.6,fall,0
9.4,1.0,0.0,10.5,fall,1
16.2,9.4,0.0,25.4,fall,1
17.0,13.4,1.3,13.5,summer,1
9.1,4.2,7.0,21.0,spring,0
27.3,24.1,0.0,38.7,spring,0
25.8,21.5,0.0,31.1,spring,0
14.2,11.0,0.0,21.6,fall,1
21.6,17.8,0.0,14.0,spring,1
19.3,12.5,0.0,37.4,fall,0
1.3,-2.3,0.0,30.9,winter,0
18.5,14.6,0.0,21.4,spring,1
16.6,8.2,4.9,40.2,summer,0
17.5,12.5,0.4,32.5,fall,0
10.5,5.5,0.9,45.1,summer,0
15.4,11.9,0.0,31.2,fall,0
15.9,8.1,6.4,41.6,summer,0
24.1,17.0,2.8,26.2,winter,1
19.0,12.7,0.5,33.2,winter,0
17.0,10.3,0.7,39.1,summer,0
26.2,22.6,0.0,6.0,spring,0
13.7,9.1,0.0,22.9,spring,1
14.7,8.2,0.0,28.6,winter,1
6.1,-2.6,1.3,4.5,winter,0
26.4,18.5,0.0,36.7,spring,0
22.8,16.0,0.5,33.5,fall,0
22.5,16.4,0.0,43.2,spring,0
21.0,17.9,0.0,18.4,winter,1
17.7,9.4,0.0,22.6,winter,1
18.3,14.9,0.5,42.1,summer,0
15.5,11.7,2.4,20.1,spring,1
15.8,8.6,0.0,38.7,spring,0
17.3,9.4,0.4,20.5,winter,1
26.1,18.4,0.7,16.9,winter,0
20.3,14.6,7.3,14.2,summer,0
16.6,12.5,0.0,11.4,winter,1
13.5,10.3,2.1,21.0,winter,1
13.2,5.1,0.0,9.1,spring,1
26.6,17.7,4.4,38.4,fall,0
20.0,15.5,0.0,44.9,spring,0
17.4,9.2,0.8,6.3,summer,1
14.9,9.5,0.8,4.4,summer,1
10.3,5.4,0.0,2.2,spring,1
16.6,10.6,0.0,43.0,spring,0
22.2,19.2,0.0,5.2,spring,1
14.6,8.9,1.4,31.9,spring,0
15.6,11.4,0.0,15.4,spring,1
15.7,8.4,1.7,10.7,spring,1
17.7,11.7,0.0,12.8,fall,1
7.4,-0.8,0.0,32.3,spring,0
15.6,7.2,0.0,2.8,fall,1
11.9,7.0,0.0,40.1,summer,0
22.3,17.6,0.0,27.0,summer,1
12.4,3.8,0.0,12.4,fall,1
20.5,14.5,3.0,11.2,fall,0
26.1,22.5,0.0,30.8,winter,0
15.1,11.8,0.0,29.7,summer,1
13.4,4.5,3.5,16.0,spring,0
18.1,11.6,1.2,16.7,fall,1
17.0,13.7,0.0,22.4,summer,1
11.0,4.9,0.0,42.1,spring,0
19.8,13.8,2.1,25.7,spring,1
29.1,23.5,0.0,39.0,spring,0
15.5,6.8,2.6,30.2,fall,0
15.8,7.1,0.0,26.7,spring,1
10.7,7.0,0.0,23.5,fall,1
18.9,15.0,4.7,31.9,fall,0
9.5,4.1,0.8,23.6,spring,1
10.4,2.4,1.1,33.9,fall,0
24.7,18.0,5.7,10.0,summer,0
11.6,4.2,0.0,16.2,fall,1
23.5,17.0,0.0,40.4,summer,0
26.1,21.8,0.0,19.4,fall,0
18.6,10.7,2.0,39.1,fall,0
20.3,17.2,0.0,43.3,fall,0
28.7,21.5,4.9,27.5,spring,0
15.8,11.6,0.0,6.5,summer,1
13.4,7.6,0.0,35.3,spring,0
8.9,0.0,0.8,31.3,fall,0
17.3,11.1,0.0,14.8,winter,1
25.9,22.6,0.0,40.0,winter,0
22.8,17.2,0.0,23.2,winter,1
11.3,4.3,0.0,4.5,summer,1
11.9,8.6,0.0,5.0,summer,1
14.0,9.5,0.0,12.0,winter,1
18.8,15.7,5.7,28.8,spring,0
15.8,9.6,0.0,37.9,winter,0
18.3,13.0,0.0,6.4,spring,1
18.8,12.8,1.0,3.0,fall,1
15.2,10.4,0.0,29.4,spring,1
16.8,9.9,0.6,20.0,winter,1
18.2,14.2,1.1,21.4,winter,1
16.5,8.1,0.7,38.1,fall,0
20.0,11.2,0.0,42.4,summer,0
28.2,22.2,1.6,44.6,fall,0
20.6,14.8,0.9,36.3,fall,0
17.3,9.1,1.3,2.1,winter,1
6.9,2.2,1.2,8.6,summer,0
19.3,11.5,0.0,27.8,summer,1
5.3,0.6,1.4,44.0,winter,0
8.5,1.2,0.5,5.6,summer,1
22.1,17.1,0.0,24.7,spring,1
21.2,14.6,1.7,19.4,summer,1
16.1,7.5,1.4,19.9,summer,1
6.7,3.4,0.0,13.8,fall,0
14.8,7.0,0.0,13.9,winter,1
12.9,6.6,0.0,12.5,fall,1
20.8,15.5,2.9,6.5,spring,1
30.5,25.4,0.0,26.4,spring,0
18.3,14.9,4.3,21.6,spring,0
12.3,7.7,0.5,33.4,summer,0
10.0,3.3,1.6,30.2,winter,0
16.7,13.1,0.0,43.9,summer,0
15.9,8.9,0.0,16.9,fall,1
10.1,1.3,0.8,40.8,winter,0
17.7,8.8,1.3,18.9,fall,1
10.1,1.8,0.0,31.1,winter,0
23.7,15.9,0.0,37.4,fall,0
23.4,19.3,0.0,19.5,spring,1
23.5,14.7,3.0,21.6,spring,0
14.2,10.0,0.0,29.8,spring,1
20.1,11.9,0.0,6.9,summer,1
16.2,7.9,3.3,25.4,spring,0
14.7,8.0,2.8,6.2,spring,1
15.0,8.9,0.1,11.9,fall,1
9.2,5.0,3.6,29.4,fall,0
8.3,2.2,1.9,44.8,winter,0
21.8,17.1,0.5,46.0,summer,0
15.9,12.1,0.0,13.5,summer,1
18.3,14.5,0.6,8.4,fall,1
23.0,15.2,0.0,24.8,summer,1
6.6,-1.9,0.0,21.4,winter,0
12.3,8.4,1.3,18.7,fall,1
18.1,15.0,0.0,35.8,fall,0
19.4,14.8,0.4,33.2,fall,0
14.7,10.9,0.0,26.7,winter,1
23.2,19.1,0.0,29.3,summer,1
18.3,11.8,0.0,27.6,summer,1
9.7,4.2,2.5,31.8,winter,0
11.4,5.8,0.0,42.8,spring,0
21.8,17.6,0.0,43.7,fall,0
19.8,12.8,0.0,45.1,summer,0
5.6,0.9,0.0,39.8,winter,0
25.1,19.7,0.8,6.6,winter,1
20.6,14.8,0.0,21.9,spring,1
25.1,16.7,0.0,36.4,spring,0
14.7,10.2,0.0,15.0,summer,1
15.2,7.9,0.6,28.7,spring,1
10.2,5.3,0.0,4.4,summer,1
32.2,23.8,1.1,11.0,fall,0
15.9,10.5,0.0,19.6,fall,1
26.5,20.5,0.8,5.1,fall,0
13.1,4.8,1.6,20.7,spring,1
18.0,11.0,0.0,12.1,winter,1
7.0,3.4,1.9,39.9,winter,0
14.7,10.9,1.5,16.0,winter,1
22.9,14.0,3.2,18.8,summer,0
9.5,6.3,0.0,37.3,summer,0
23.4,18.6,2.0,26.6,fall,1
19.0,10.2,0.6,4.2,fall,1
10.7,7.6,0.0,11.6,summer,1
14.0,10.0,0.0,28.9,spring,1
14.2,9.9,0.0,10.8,winter,1
16.7,13.2,0.0,12.9,spring,1
13.8,8.0,2.3,29.4,winter,1
12.0,5.4,0.0,23.8,winter,1
15.2,10.3,0.0,13.8,summer,1
10.8,7.1,0.0,26.6,summer,1
9.3,1.4,0.0,29.9,summer,1
16.7,8.9,1.6,3.7,summer,1
22.3,15.9,0.8,14.0,summer,1
7.8,4.0,0.0,15.5,fall,1
17.0,10.7,0.0,40.7,spring,0
13.1,6.3,3.3,4.3,summer,0
11.1,5.5,0.6,17.3,spring,1
22.1,13.9,0.0,10.6,fall,1
13.9,8.6,0.4,32.6,summer,0
26.0,19.9,0.0,37.7,spring,0
12.3,8.6,3.6,4.5,spring,0
19.3,12.9,0.0,40.0,fall,0
15.6,8.0,9.2,32.6,fall,0
12.5,5.1,4.6,11.5,spring,0
20.5,16.0,0.0,42.3,spring,0
16.1,7.1,0.0,14.9,summer,1
20.6,13.3,0.0,36.7,winter,0
16.7,11.2,0.8,5.3,summer,1
10.5,5.0,0.0,22.1,fall,1
16.4,8.7,0.0,24.3,fall,1
17.3,13.2,9.6,41.4,spring,0
22.8,16.0,0.0,38.8,spring,0
11.6,4.3,0.4,26.0,fall,1
16.8,10.7,0.0,4.3,summer,1
6.7,-1.5,5.6,20.9,summer,0
20.9,15.1,0.0,18.5,winter,1
10.5,4.7,1.3,45.8,summer,0
6.2,1.5,0.0,32.0,fall,0
16.6,8.1,0.7,19.8,fall,1
23.6,18.7,1.8,18.1,summer,1
7.9,0.7,0.0,35.8,fall,0
10.5,5.0,1.2,6.2,fall,1
12.5,3.9,0.1,37.9,spring,0
10.2,1.5,1.1,31.5,fall,0
19.3,16.1,0.0,21.2,fall,1
12.2,3.2,2.1,33.3,summer,0
12.7,6.1,2.6,19.5,winter,1
20.5,17.1,0.4,8.3,winter,1
12.5,6.5,0.1,20.3,winter,1
19.6,16.3,0.0,4.3,winter,1
11.2,4.9,0.0,5.8,summer,1
9.7,5.6,0.0,21.3,spring,1
6.0,0.8,0.0,38.3,spring,0
28.2,23.4,0.0,11.0,winter,0
15.1,8.5,0.8,24.0,summer,1
18.5,10.6,0.9,45.1,winter,0
16.8,8.2,5.3,38.4,summer,0
18.0,13.0,2.2,41.7,spring,0
17.3,10.9,0.5,31.7,summer,0
28.4,25.4,0.0,27.9,fall,0
10.8,5.6,0.0,27.6,fall,1
7.7,-1.1,0.5,28.5,fall,0
10.9,7.2,3.4,22.5,winter,0
9.0,0.8,0.0,17.9,spring,1
21.5,14.6,0.0,12.5,spring,1
21.9,17.1,1.0,4.9,fall,1
11.2,3.5,0.0,18.2,spring,1
8.7,4.0,0.0,35.9,summer,0
14.9,6.5,0.0,26.3,summer,1
25.3,21.8,0.0,9.2,spring,1
0.1,-3.6,0.0,37.8,spring,0
20.2,12.7,1.4,3.8,winter,1
10.5,4.8,0.0,43.0,spring,0
23.2,19.3,0.3,30.7,spring,0
10.5,4.4,0.0,26.5,fall,1
15.3,10.5,2.5,20.2,fall,1
8.0,1.7,0.1,38.3,winter,0
11.1,3.6,0.0,2.3,summer,1
25.3,17.2,1.5,2.7,fall,1
21.9,18.5,0.0,24.9,winter,1
14.6,8.0,0.0,15.1,fall,1
11.8,2.9,0.0,19.7,spring,1
5.6,-0.2,0.0,25.6,spring,0
14.6,7.0,0.0,3.9,spring,1
16.8,13.2,0.0,45.3,spring,0
16.5,8.3,0.0,31.8,winter,0
16.4,9.9,0.0,6.4,summer,1
10.3,2.0,9.7,34.5,spring,0
16.6,8.9,1.4,25.4,spring,1
16.8,8.6,1.9,32.2,spring,0
24.7,21.4,0.8,34.5,fall,0
28.2,20.9,0.2,45.6,fall,0
16.2,12.0,0.0,7.2,summer,1
12.4,7.8,3.5,45.8,fall,0
16.6,11.7,0.1,23.0,spring,1
13.4,6.9,0.0,10.8,spring,1
12.5,5.7,1.8,18.4,fall,1
16.6,8.0,0.0,18.0,summer,1
10.7,7.6,0.0,41.4,summer,0
20.6,16.4,0.0,25.1,spring,1
16.4,11.2,1.9,4.9,winter,1
18.5,10.6,0.6,33.5,spring,0
15.9,9.6,2.0,23.9,spring,1
12.6,6.5,0.0,37.8,spring,0
11.3,3.7,0.0,4.0,summer,1
15.6,8.7,1.3,40.1,spring,0
13.7,9.0,0.0,41.3,winter,0
18.4,14.9,1.5,2.4,winter,1
17.0,11.2,0.0,23.0,spring,1
8.8,0.5,1.1,7.3,fall,1
17.4,10.8,15.3,25.3,summer,0
8.9,5.6,1.3,5.9,fall,1
13.3,7.7,0.6,41.0,winter,0
15.2,9.9,0.0,10.1,fall,1
4.5,-2.0,0.0,31.4,summer,0
17.5,11.0,0.0,30.8,summer,0
17.9,9.2,0.0,16.1,fall,1
16.1,11.1,1.5,11.4,spring,1
14.5,9.1,2.3,42.3,winter,0
14.8,8.1,0.0,3.8,spring,1
11.1,2.8,0.0,13.2,spring,1
15.4,8.2,1.0,16.4,winter,1
13.7,7.9,0.0,27.7,spring,1
17.6,9.7,0.0,18.2,spring,1
9.8,3.9,0.0,6.9,fall,1
18.4,9.6,0.1,27.1,spring,1
17.9,13.2,0.0,33.9,summer,0
16.2,12.4,4.5,33.0,spring,0
14.4,6.4,0.0,23.5,spring,1
20.3,15.5,0.5,15.5,spring,1
7.0,-1.1,5.4,2.5,winter,0
19.8,13.1,0.4,25.4,winter,1
18.5,12.4,0.0,29.7,summer,1
18.7,15.2,0.0,21.4,summer,1
19.3,11.6,0.0,44.2,winter,0
13.1,9.7,4.2,10.9,fall,0
15.4,6.6,4.9,37.8,summer,0
20.8,12.5,0.0,33.6,fall,0
19.6,14.8,0.0,41.6,fall,0
18.2,14.4,2.8,42.7,summer,0
7.9,-0.4,0.7,12.4,spring,0
20.2,14.3,0.0,42.6,spring,0
24.0,20.3,0.0,19.7,spring,1
23.1,17.1,0.0,31.9,summer,0
18.4,13.9,0.0,43.9,spring,0
7.7,2.3,0.8,28.2,summer,1
22.7,15.9,2.8,27.6,winter,1
16.1,7.6,0.0,5.1,fall,1
1.8,-6.0,0.0,28.3,fall,0
19.3,15.3,0.0,12.6,summer,1
8.0,2.1,2.1,19.1,winter,1
9.2,3.2,2.3,18.6,winter,1
13.2,4.3,1.7,44.8,fall,0
24.6,21.1,0.0,30.1,spring,0
14.8,8.7,0.0,33.9,spring,0
18.6,10.1,10.1,9.6,winter,0
27.5,22.1,0.0,15.4,fall,0
26.6,22.0,4.7,40.6,summer,0
16.4,10.1,1.4,7.3,fall,1
15.6,10.7,0.0,43.9,spring,0
9.4,0.8,5.2,20.8,winter,0
12.8,9.3,7.9,19.2,summer,0
19.6,15.4,1.6,24.6,fall,1
19.4,15.9,0.5,21.5,spring,1
17.7,10.4,0.0,22.7,winter,1
23.0,18.2,0.8,20.7,spring,1
12.4,4.0,0.0,32.9,summer,0
16.7,8.3,2.5,14.2,spring,1
21.4,12.8,1.2,9.3,summer,1
20.5,16.0,0.0,21.1,spring,1
23.4,20.4,0.1,5.9,spring,1
19.4,14.1,5.5,21.7,winter,0
15.1,6.3,0.0,23.8,spring,1
19.2,11.6,0.0,36.5,winter,0
11.0,7.6,0.0,6.8,fall,1
